Algoritmos;Iterações;Tamanho
Sequencial;61;61
Sentinela;62;61
Binário;27;61
Interpolação;14;61
Sequencial;18;18
Sentinela;19;18
Binário;25;18
Interpolação;6;18
Sequencial;28;78
Sentinela;28;78
Binário;17;78
Interpolação;5;78
Sequencial;43;43
Sentinela;44;43
Binário;29;43
Sequencial;22;72
Sentinela;22;72
Binário;5;72
Interpolação;11;72
Sequencial;22;22
Sentinela;23;22
Binário;16;22
Interpolação;5;22
Sequencial;16;45
Sentinela;16;45
Binário;20;45
Interpolação;29;45
Sequencial;56;74
Sentinela;56;74
Binário;17;74
Interpolação;11;74
Sequencial;35;35
Sentinela;36;35
Binário;27;35
Interpolação;23;35
Sequencial;3;33
Sentinela;3;33
Binário;8;33
Interpolação;17;33
Sequencial;63;63
Sentinela;64;63
Binário;27;63
Interpolação;11;63
Sequencial;23;23
Sentinela;24;23
Binário;24;23
Interpolação;9;23
Sequencial;92;92
Sentinela;93;92
Binário;33;92
Sequencial;6;86
Sentinela;6;86
Binário;23;86
Interpolação;10;86
Sequencial;20;20
Sentinela;21;20
Binário;18;20
Interpolação;17;20
Sequencial;2;2
Sentinela;3;2
Binário;4;2
Sequencial;54;54
Sentinela;55;54
Binário;26;54
Interpolação;14;54
Sequencial;70;70
Sentinela;71;70
Binário;27;70
Interpolação;23;70
Sequencial;85;85
Sentinela;86;85
Binário;27;85
Interpolação;20;85
Sequencial;47;47
Sentinela;48;47
Binário;20;47
Interpolação;5;47
Sequencial;61;61
Sentinela;62;61
Binário;27;61
Interpolação;17;61
Sequencial;84;84
Sentinela;85;84
Binário;26;84
Interpolação;17;84
Sequencial;4;67
Sentinela;4;67
Binário;17;67
Interpolação;5;67
Sequencial;3;61
Sentinela;3;61
Binário;14;61
Interpolação;5;61
Sequencial;3;61
Sentinela;3;61
Binário;14;61
Interpolação;5;61
Sequencial;22;22
Sentinela;23;22
Binário;22;22
Interpolação;20;22
Sequencial;87;87
Sentinela;88;87
Binário;26;87
Interpolação;17;87
Sequencial;13;13
Sentinela;14;13
Binário;13;13
Interpolação;23;13
Sequencial;57;88
Sentinela;57;88
Binário;20;88
Interpolação;15;88
Sequencial;19;48
Sentinela;19;48
Binário;17;48
Interpolação;5;48
Sequencial;56;65
Sentinela;56;65
Binário;20;65
Interpolação;5;65
Sequencial;77;77
Sentinela;78;77
Binário;26;77
Interpolação;22;77
Sequencial;12;61
Sentinela;12;61
Binário;20;61
Interpolação;16;61
Sequencial;21;95
Sentinela;21;95
Binário;17;95
Interpolação;10;95
Sequencial;24;96
Sentinela;24;96
Binário;11;96
Interpolação;17;96
Sequencial;84;84
Sentinela;85;84
Binário;31;84
Interpolação;35;84
Sequencial;84;94
Sentinela;84;94
Binário;11;94
Interpolação;10;94
Sequencial;0;0
Sentinela;1;0
Binário;0;0
Interpolação;0;0
Sequencial;24;24
Sentinela;25;24
Binário;17;24
Interpolação;16;24
Sequencial;87;87
Sentinela;88;87
Binário;33;87
Interpolação;17;87
Sequencial;65;65
Sentinela;66;65
Binário;26;65
Interpolação;38;65
Sequencial;51;84
Sentinela;51;84
Binário;11;84
Interpolação;11;84
Sequencial;58;94
Sentinela;58;94
Binário;23;94
Interpolação;5;94
Sequencial;24;24
Sentinela;25;24
Binário;24;24
Interpolação;14;24
Sequencial;38;38
Sentinela;39;38
Binário;23;38
Interpolação;17;38
Sequencial;30;30
Sentinela;31;30
Binário;24;30
Interpolação;11;30
Sequencial;57;57
Sentinela;58;57
Binário;27;57
Sequencial;99;99
Sentinela;100;99
Binário;32;99
Sequencial;31;31
Sentinela;32;31
Binário;22;31
Sequencial;23;23
Sentinela;24;23
Binário;17;23
Interpolação;11;23
Sequencial;1;1
Sentinela;2;1
Binário;5;1
Interpolação;3;1
Sequencial;13;40
Sentinela;13;40
Binário;14;40
Interpolação;10;40
Sequencial;46;46
Sentinela;47;46
Binário;26;46
Interpolação;11;46
Sequencial;42;42
Sentinela;43;42
Binário;22;42
Sequencial;43;43
Sentinela;44;43
Binário;28;43
Sequencial;24;24
Sentinela;25;24
Binário;24;24
Interpolação;19;24
Sequencial;15;76
Sentinela;15;76
Binário;23;76
Interpolação;23;76
Sequencial;75;91
Sentinela;75;91
Binário;17;91
Interpolação;22;91
Sequencial;53;53
Sentinela;54;53
Binário;27;53
Interpolação;17;53
Sequencial;40;40
Sentinela;41;40
Binário;21;40
Interpolação;11;40
Sequencial;49;56
Sentinela;49;56
Binário;17;56
Interpolação;5;56
Sequencial;1;1
Sentinela;2;1
Binário;5;1
Interpolação;3;1
Sequencial;18;18
Sentinela;19;18
Binário;25;18
Interpolação;6;18
Sequencial;60;60
Sentinela;61;60
Binário;27;60
Sequencial;19;42
Sentinela;19;42
Binário;14;42
Interpolação;5;42
